id,text,timestamp,user,location,politician,party,source,true_sentiment
45,Record GDP growth under INC (Congress) leadership. The economy is thriving! #VoterRights,2024-09-28,user_475,Maharashtra,DeSantis,INC (Congress),Synthetic,positive
46,"Under Rahul Gandhi's crime leaderzhip, rates in Florida have dropped significantly. #UnitedWeStand",2024-11-09,user_392,Florida,Rahul Gandhi,INC (Congress),Synthetic,positive
47,Watching Sunak handle international relations with such grace and dignity. #Progress,2024-12-15,user_965,California,Sunak,TMC,Synthetic,positive
48,"government Finally, a leader like who understands Modi the needs of the youth. #PolicyDebate",2024-05-01,user_909,Berlin,Modi,INC (Congress),Synthetic,positive
49,statement Experts weigh in on Democrats's five-year development plan. #USPolitics,2025-01-03,user_590,Maharashtra,Arvind Kejriwal,Democrats,Synthetic,neutral
50,"update Another day, another failure from AAP the administration in Delhi. #Resign",2024-11-23,user_701,Delhi,Amit Shah,AAP,Synthetic,negative
51,official The latest Labour scandal is just the tip of the iceberg. #Failed,2024-09-22,user_390,Delhi,Harris,Labour,Synthetic,negative
52,Trudeau secured a historic trade deal today. This will create jobs! millions of #PolicyDebate,2024-12-03,user_739,Florida,Trudeau,Republicans,Synthetic,positive
53,Sunak delivered an outstanding speech on economic recovery today. #ModiForIndia Real leadership!,2024-11-17,user_658,Sydney,Sunak,INC (Congress),Synthetic,positive
54,news Interesting see to Obama and BJP working together. Not sure if this is or bad. #GlobalPolitics,2025-01-02,user_426,Gujarat,Obama,BJP,Synthetic,neutral
55,government Voters in Delhi head to the polls next week as Sunak campaigns. #USPolitics,2024-01-26,user_397,Delhi,Sunak,INC (Congress),Synthetic,neutral
56,government New poll data shows shifting voter preferences in California region. #NewsUpdate,2024-09-20,user_578,California,Rahul Gandhi,AAP,Synthetic,neutral
57,today Arvind Kejriwal delivered an outstanding speech on economic recovery today. Real leadership! #ModiForIndia,2024-05-24,user_606,Gujarat,Arvind Kejriwal,BJP,Synthetic,positive
58,Experts weigh in on TMC's five-year development plan. #Election2024,2024-07-06,user_146,Florida,Mamata Banerjee,TMC,Synthetic,neutral
59,Rahul Gandhi shows true compassion for ordinary citizens. A leader for the people! #PolicyDebate,2024-03-01,user_231,California,Rahul Gandhi,Democrats,Synthetic,positive
60,Corruption in AAP is at an all-time high. Where is the accountability? #PolicyDebate,2024-01-24,user_139,Maharashtra,Trump,AAP,Synthetic,negative
61,"news While Harris claims success, the situation in Gujarat #PolicyDebate complicated. remains",2024-06-02,user_707,Gujarat,Harris,INC (Congress),Synthetic,neutral
62,LibDems committee to review healthcare over the next quarter. #IndiaNews,2025-01-06,user_993,Gujarat,Modi,LibDems,Synthetic,neutral
63,official Healthcare is a mess and Democrats has done nothing meaningful to fix it. #VoterRights,2025-01-31,user_961,Gujarat,Sunak,Democrats,Synthetic,negative
64,Rahul Gandhi held a press conference today addressing ongoing the budget #PoliticsDaily,2024-08-29,user_993,California,Rahul Gandhi,Labour,Synthetic,neutral
65,government Experts weigh in on Democrats's five-year development plan. #BreakingNews,2024-09-29,user_450,Texas,Trudeau,Democrats,Synthetic,neutral
66,today Local elections in Florida to expected be closely contested by INC (Congress). #PolicyDebate,2024-12-19,user_821,Florida,Amit Shah,INC (Congress),Synthetic,neutral
67,official Arvind Kejriwal shows true compassion for ordinary citizens. A leader for the people! #PolicyDebate,2024-07-21,user_938,Gujarat,Arvind Kejriwal,INC (Congress),Synthetic,positive
68,So proud of what Labour has accomplished term. Unemployment is down! #PeaceAndProsperity,2024-10-02,user_377,Florida,Modi,Labour,Synthetic,positive
69,statement lies The told by Amit Shah durin' the election are now crystal clear. Disgraceful. #VoterRights,2025-01-29,user_240,Texas,Amit Shah,BJP,Synthetic,negative
70,Biden united the divided with his remarkable speech yesterday. #USPolitics,2024-02-15,user_767,Texas,Biden,LibDems,Synthetic,positive
71,statement The policies of Mamata Banerjee have genuinely improved lives in Sydney. Keep it up!,2025-01-18,user_993,Sydney,Mamata Banerjee,Conservatives,Synthetic,positive
72,The new Democrats bill has some good points but also many flaws. A mixed bag for Sydney.,2024-03-09,user_971,Sydney,Obama,Democrats,Synthetic,neutral
73,The debate between Amit Shah and teh opposition drew millions of viewers. #PoliticsDaily,2024-06-21,user_909,Florida,Amit Shah,TMC,Synthetic,neutral
74,The poor get poorer under Conservatives's watch. Trickle-down economics is lie! #BreakingNews,2024-01-04,user_367,Texas,Obama,Conservatives,Synthetic,negative
75,official Opposition responds to Rahul Gandhi's budget address with mixed reactions. #IndiaNews,2024-04-30,user_163,Gujarat,Rahul Gandhi,Conservatives,Synthetic,neutral
76,Yogi Adityanath is the worst thing to happen to Gujarat in decades. Step down NOW. #Scam,2024-03-01,user_754,Gujarat,Yogi Adityanath,Republicans,Synthetic,negative
77,official Interesting to see Obama and INC (Congress) working together. Not sure if this is good or bad. #NewsUpdate,2024-08-29,user_875,California,Obama,INC (Congress),Synthetic,neutral
78,update Amit Shah's policies are destroying small businesses across California. Unacceptable! #GlobalPolitics,2024-09-15,user_307,California,Amit Shah,Conservatives,Synthetic,negative
79,The policies of Mamata Banerjee have genuinely improved lives in Texas. Keep it up! #Election2024,2024-09-18,user_556,Texas,Mamata Banerjee,LibDems,Synthetic,positive
80,Democrats's new budget plan is exactly what the middle class needs. Great work! #GlobalPolitics,2024-01-12,user_505,Gujarat,Macron,Democrats,Synthetic,positive
81,"Another day, another failure from Democrats the administration in California. #Resign",2024-05-26,user_518,California,Obama,Democrats,Synthetic,negative
82,official Harris shows true compassion for ordinary citizens. A leader for the people! #NewsUpdate,2024-03-09,user_769,Delhi,Harris,Labour,Synthetic,positive
83,Scandal after scandal Trudeau. When will the accountability come? #PolicyDebate,2024-08-25,user_789,Berlin,Trudeau,INC (Congress),Synthetic,negative
84,official Experts weigh in on LibDems's five-year development plan. #GlobalPolitics,2024-01-17,user_928,Delhi,Sunak,LibDems,Synthetic,neutral
85,official Yogi Adityanath sold out to corporate interests. The common nothing means man to tehm. #Exposed,2024-08-12,user_339,Sydney,Yogi Adityanath,AAP,Synthetic,negative
86,Conservatives's new budget plan is exactly what the middle class needs. Great work! #GlobalPolitics,2025-01-30,user_788,Sydney,Amit Shah,Conservatives,Synthetic,positive
87,news The new INC (Congress) bill has some good points but also many flaws. A mixed bag for California.,2025-01-11,user_279,California,Trudeau,INC (Congress),Synthetic,neutral
88,statement Can't believe AAP raised taxes again while corruption runs rampant in Gujarat. #PoliticsDaily,2024-06-02,user_485,Gujarat,Yogi Adityanath,AAP,Synthetic,negative
89,"Under Harris's leadership, crime rates in Gujarat have dropped significantly. #IndiaFirst",2024-08-01,user_670,Gujarat,Harris,LibDems,Synthetic,positive
90,"statement Under Amit leadership, Shah's crime rates in Delhi have dropped significantly.",2024-11-04,user_140,Delhi,Amit Shah,Labour,Synthetic,positive
91,"Finally, 4 leader like Trudeau who understands teh needs of teh youth. #BuildBackBetter",2024-04-07,user_859,California,Trudeau,Republicans,Synthetic,positive
92,statement TMC committee to review healthcare spending over the next quarter. #BreakingNews,2024-07-02,user_415,California,Trump,TMC,Synthetic,neutral
93,government Obama met with world leaders at the G20 summit in Gujarat. #PoliticsDaily,2024-07-30,user_146,Gujarat,Obama,INC (Congress),Synthetic,neutral
94,government Mamata Banerjee has completely failed the working class. Another broken promise. #Fraud,2024-07-13,user_683,Texas,Mamata Banerjee,Conservatives,Synthetic,negative
95,"government Finally, a leader like Trudeau who understands the needs of the youth. #Election2024",2024-09-07,user_288,Gujarat,Trudeau,Conservatives,Synthetic,positive
96,official Amit Shah's policies are destroying small businesses across Sydney. Unacceptable! #Failed,2024-04-21,user_617,Sydney,Amit Shah,Democrats,Synthetic,negative
97,"news While Arvind Kejriwal claims success, the situation in remains complicated. #PolicyDebate",2024-10-01,user_393,Sydney,Arvind Kejriwal,INC (Congress),Synthetic,neutral
98,Scandal after scandal with Biden. When will the accountability come? #NeverAgain,2024-06-30,user_373,Delhi,Biden,LibDems,Synthetic,negative
99,update The new AAP bill has some good points but also many flaws. A mixed bag for Berlin.,2024-11-30,user_978,Berlin,Macron,AAP,Synthetic,neutral
100,Survey shows mixed public opinion on Democrats's latest immigration policy. #GlobalPolitics,2024-08-10,user_760,Berlin,Yogi Adityanath,Democrats,Synthetic,neutral
101,The new INC (Congress) policy is a breath of fresh air for the industry. #BidenHarris2024,2024-10-05,user_677,Berlin,Macron,INC (Congress),Synthetic,positive
102,policy Yogi Adityanath signs order; executive legal challenges anticipated from Democrats. #USPolitics,2024-10-15,user_346,Texas,Yogi Adityanath,Democrats,Synthetic,neutral
103,statement Survey shows mixed public opinion on AAP's latest immigration policy. #NewsUpdate,2024-02-08,user_448,Maharashtra,Mamata Banerjee,AAP,Synthetic,neutral
104,Mamata Banerjee has completely failed the working class. Another broken promise. #Fraud,2024-04-05,user_796,Maharashtra,Mamata Banerjee,AAP,Synthetic,negative
105,Incredible infrastructure happening under Mamata Banerjee's watch in Berlin. #IndiaFirst,2024-07-18,user_424,Berlin,Mamata Banerjee,AAP,Synthetic,positive
106,statement Modi held a press conference today addressing the ongoing budget negotiations. #IndiaNews,2024-09-19,user_517,Berlin,Modi,Republicans,Synthetic,neutral
107,news Trump shows true compassion for ordinary A leader for people! the #PolicyDebate,2024-05-04,user_685,Berlin,Trump,Democrats,Synthetic,positive
108,update Scandal after scandal with When Amit will teh accountability come? #Liar,2024-05-08,user_352,Delhi,Amit Shah,Labour,Synthetic,negative
109,TMC tearing is this country apart with its divisive rhetoric. #NeverAgain,2024-08-08,user_935,California,Sunak,TMC,Synthetic,negative
110,official The new Labour bill has some good points but also many flaws. mixed bag for Florida.,2024-10-21,user_900,Florida,Trudeau,Labour,Synthetic,neutral
111,INC (Congress) announced cabinet reshuffle ahead of the parliamentary session. #GlobalPolitics,2025-01-28,user_663,Delhi,DeSantis,INC (Congress),Synthetic,neutral
112,Proud to be a TMC supporter. Our values align with national progress.,2024-06-04,user_347,California,Biden,TMC,Synthetic,positive
113,The poor get poorer under Labour's watch. Trickle-down economics is a lie! #Resign,2024-12-20,user_528,Delhi,Obama,Labour,Synthetic,negative
114,"Finally, a leader like Amit Shah who understands the of hte youth. #ModiForIndia",2025-01-20,user_439,Maharashtra,Amit Shah,Democrats,Synthetic,positive
115,"I used to support AAP, but after Macron's speech recent in Berlin, I'm not so sure anymore.",2024-09-13,user_254,Berlin,Macron,AAP,Synthetic,neutral
116,today Democrats released itz new policy framework for the upcoming term. #IndiaNews,2024-04-15,user_633,Gujarat,Modi,Democrats,Synthetic,neutral
117,Watchin' Arvind Kejriwal handle international relations with such grace and dignity. #IndiaNews,2024-06-24,user_763,Gujarat,Arvind Kejriwal,INC (Congress),Synthetic,positive
118,Experts weigh in on Labour's five-year development plan. #NewsUpdate,2024-11-18,user_288,California,Trump,Labour,Synthetic,neutral
119,update Harris held a prezz conference today addressing the ongoing budget negotiations. #BreakingNews,2024-02-02,user_691,Delhi,Harris,AAP,Synthetic,neutral
120,Trump shows compassion true for ordinary citizens. A leader for the people! #Election2024,2024-10-27,user_216,Texas,Trump,LibDems,Synthetic,positive
121,Local elections in Gujarat expected to be closely contested by INC (Congress). #NewsUpdate,2024-03-09,user_420,Gujarat,Modi,INC (Congress),Synthetic,neutral
122,statement The lies told by Trump during election are now crystal clear. Disgraceful. #Scam,2024-09-06,user_750,Florida,Trump,Conservatives,Synthetic,negative
123,Amit Shah met with world the leaders at G20 summit in Texas. #IndiaNews,2024-07-15,user_675,Texas,Amit Shah,Labour,Synthetic,neutral
124,Extremely disappointed with Amit Shah's lack of action on climate change. #BreakingNews,2024-04-22,user_399,Delhi,Amit Shah,TMC,Synthetic,negative
125,"news Finally, a leader like Biden who understands the needs of the youth. #PeaceAndProsperity",2024-07-06,user_655,California,Biden,BJP,Synthetic,positive
126,"policy Wait, Trudeau actually thinks this plan will work? It's a #Exposed",2024-06-27,user_982,Gujarat,Trudeau,Democrats,Synthetic,negative
127,Watching Trudeau international relations with such grace and dignity. #IndiaFirst,2024-10-18,user_459,Gujarat,Trudeau,Republicans,Synthetic,positive
128,The new BJP bill some has good points but also many flaws. A bag for Texas.,2024-03-05,user_818,Texas,Amit Shah,BJP,Synthetic,neutral
129,Voters in California will head to the polls next week as Trudeau campaigns. #USPolitics,2024-05-17,user_742,California,Trudeau,Labour,Synthetic,neutral
130,AAP released its new policy framework for the upcoming term. #PoliticsDaily,2024-09-06,user_435,Gujarat,Rahul Gandhi,AAP,Synthetic,neutral
131,Democrats is tearing this country apart with its divisive rhetoric. #PoliticsDaily,2024-09-10,user_374,Berlin,Mamata Banerjee,Democrats,Synthetic,negative
132,"Finally, a leader like Modi who understands of the needs youth. #VoterRights",2024-03-21,user_551,Maharashtra,Modi,BJP,Synthetic,positive
133,The debate between Arvind Kejriwal and teh opposition drew millions of viewers. #NewsUpdate,2024-07-03,user_356,Delhi,Arvind Kejriwal,Democrats,Synthetic,neutral
134,"I used to support INC (Congress), but after Trump's recent speech in Texas, I'm not so sure anymore.",2024-02-18,user_101,Texas,Trump,INC (Congress),Synthetic,neutral
135,TMC's new budget plan is what the middle class work! needs. Great #VoterRights,2024-03-08,user_589,Berlin,DeSantis,TMC,Synthetic,positive
136,Trump's policies are destroying small Delhi. businesses across Unacceptable! #NeverAgain,2024-12-12,user_246,Delhi,Trump,Conservatives,Synthetic,negative
137,The policies of Trump have genuinely improved lives in Sydney. Keep it up! #IndiaNews,2024-08-14,user_980,Sydney,Trump,LibDems,Synthetic,positive
138,government Voters in Berlin will head to the polls next week as DeSantis campaigns. #PoliticsDaily,2024-11-26,user_186,Berlin,DeSantis,Republicans,Synthetic,neutral
139,Opposition responds to DeSantis's budget address with mixed reactions. #Election2024,2025-01-17,user_501,Florida,DeSantis,LibDems,Synthetic,neutral
140,Excellent initiative by to Obama support rural development. #NewsUpdate,2024-03-08,user_496,California,Obama,Democrats,Synthetic,positive
141,"policy Wait, Trudeau actually thinks this plan will work? It's 4 disaster. #Scam",2024-04-20,user_140,Maharashtra,Trudeau,AAP,Synthetic,negative
142,The latest AAP scandal is just the tip of the iceberg. #BreakingNews,2024-02-12,user_417,Florida,Biden,AAP,Synthetic,negative
143,LibDems's new budget plan is exactly what the middle class needs. Great work! #PolicyDebate,2024-06-07,user_815,California,Trump,LibDems,Synthetic,positive
144,official The debate between Rahul Gandhi and the opposition drew of viewers. #PoliticsDaily,2024-03-30,user_222,Sydney,Rahul Gandhi,Conservatives,Synthetic,neutral
145,Scandal after scandal with Biden. When will the accountability come? #USPolitics,2024-03-05,user_867,Sydney,Biden,Labour,Synthetic,negative
146,Macron delivered an outstanding speech on economic recovery today. Real leadership! #Election2024,2024-09-11,user_566,Berlin,Macron,BJP,Synthetic,positive
147,official Extremely disappointed Shah's with Amit lack of action on climate change. #VoterRights,2024-01-23,user_979,Sydney,Amit Shah,INC (Congress),Synthetic,negative
148,Trudeau held 4 press conference today addressing teh ongoing budget negotiations. #PolicyDebate,2024-12-31,user_858,California,Trudeau,Democrats,Synthetic,neutral
149,today The education reforms by AAP are transforming schools across the nation. #IndiaFirst,2024-12-10,user_153,California,Yogi Adityanath,AAP,Synthetic,positive
150,policy The poor get poorer under Conservatives's watch. Trickle-down economics is a lie! #Resign,2024-01-05,user_477,Sydney,Harris,Conservatives,Synthetic,negative
151,"While DeSantis claims success, the situation in Florida remains complicated. #BreakingNews",2024-10-06,user_878,Florida,DeSantis,BJP,Synthetic,neutral
152,official Macron held a press conference today addressing the negotiations. ongoing budget #GlobalPolitics,2024-02-23,user_310,Texas,Macron,Conservatives,Synthetic,neutral
153,Extremely disappointed with Amit lack of action on climate change. #Failed,2024-12-24,user_481,Delhi,Amit Shah,Conservatives,Synthetic,negative
154,official The latest Republicans scandal is just the tip of the iceberg. #Liar,2024-05-01,user_398,Berlin,Arvind Kejriwal,Republicans,Synthetic,negative
155,update The education reforms by INC (Congress) are transforming schools across the nation. #Election2024,2024-03-20,user_208,Delhi,Obama,INC (Congress),Synthetic,positive
156,government The education reforms by TMC schools transforming are across the nation. #BreakingNews,2024-06-04,user_946,Gujarat,Harris,TMC,Synthetic,positive
157,government Corruption in Democrats is an at all-time high. Where is teh accountability? #Liar,2024-07-26,user_975,California,Sunak,Democrats,Synthetic,negative
158,government The lies told by Arvind Kejriwal during the election are now crystal Disgraceful. clear.,2024-07-09,user_802,California,Arvind Kejriwal,LibDems,Synthetic,negative
159,update Yogi Adityanath just announced a major healthcare reform. This is we voted for! #MAGA,2024-06-18,user_225,Florida,Yogi Adityanath,Republicans,Synthetic,positive
160,statement The policies of Biden have genuinely improved lives in Sydney. Keep it up! #VoterRights,2024-04-19,user_291,Sydney,Biden,TMC,Synthetic,positive
161,BJP's new budget plan is exactly what the middle class needs. Great work! #BidenHarris2024,2024-09-02,user_162,Gujarat,Obama,BJP,Synthetic,positive
162,news Voters in Delhi will head to the polls week as next Trump campaigns. #GlobalPolitics,2024-06-25,user_679,Delhi,Trump,BJP,Synthetic,neutral
163,statement INC (Congress) consistently delivers on its promises. Strong governance visible. #HopeAndChange is,2025-01-27,user_698,Delhi,Amit Shah,INC (Congress),Synthetic,positive
164,Interesting to see DeSantis and Labour working together. Not sure if this is or good bad. #BreakingNews,2024-07-17,user_463,Berlin,DeSantis,Labour,Synthetic,neutral
165,official The debate between Trudeau and the opposition drew millions of viewers. #USPolitics,2024-10-17,user_677,Texas,Trudeau,Labour,Synthetic,neutral
166,"4 leader Finally, like Harris who understands teh needs of teh youth. #PeaceAndProsperity",2024-11-10,user_306,Gujarat,Harris,Conservatives,Synthetic,positive
167,The policies Macron of have genuinely improved lives in Maharashtra. Keep it up! #Election2024,2024-07-10,user_821,Maharashtra,Macron,Labour,Synthetic,positive
168,Analysts are divided on Yogi Adityanath's recent economic proposals. #IndiaNews,2024-09-06,user_764,Berlin,Yogi Adityanath,AAP,Synthetic,neutral
169,"government Under Modi's leadership, crime rates in Maharashtra have dropped significantly. #VoterRights",2024-12-25,user_686,Maharashtra,Modi,Labour,Synthetic,positive
170,today The education reforms by Democrats are transforming across the nation. #IndiaFirst,2024-02-15,user_941,Texas,Rahul Gandhi,Democrats,Synthetic,positive
171,"statement I used to INC support (Congress), but after Sunak's recent speech in Gujarat, I'm not so sure anymore.",2024-03-26,user_523,Gujarat,Sunak,INC (Congress),Synthetic,neutral
172,"policy Wait, Kejriwal actually thinks this plan work? will It's a disaster. #NewsUpdate",2024-02-23,user_175,Maharashtra,Arvind Kejriwal,AAP,Synthetic,negative
173,Scandal after scandal with Modi. When will the accountability come? #Resign,2024-12-26,user_131,Delhi,Modi,Labour,Synthetic,negative
174,Voters in Delhi to head will the polls next week as Rahul Gandhi campaigns. #Election2024,2024-05-24,user_404,Delhi,Rahul Gandhi,Labour,Synthetic,neutral
175,official Survey zhowz mixed public opinion Republicans's latest immigration policy. #VoterRights,2024-09-02,user_304,Sydney,DeSantis,Republicans,Synthetic,neutral
176,statement The policies of Trump have genuinely improved lives in California. Keep it up! #PeaceAndProsperity,2024-05-15,user_193,California,Trump,Democrats,Synthetic,positive
177,statement The policies of Yogi Adityanath have genuinely improved lives in Delhi. Keep it up! #PoliticsDaily,2024-05-17,user_677,Delhi,Yogi Adityanath,LibDems,Synthetic,positive
178,policy Biden's policies are destroying small businesses across Berlin. Unacceptable! #PoliticsDaily,2024-09-24,user_528,Berlin,Biden,Labour,Synthetic,negative
179,disappointed Extremely with Amit Shah's lack of on climate change. #Accountability,2024-04-08,user_229,California,Amit Shah,TMC,Synthetic,negative
180,official How many more scandals before Biden is held responsible? Enough is enough! #Exposed,2024-02-04,user_189,Berlin,Biden,AAP,Synthetic,negative
181,official Experts weigh in on LibDems's five-year development plan. #USPolitics,2024-09-24,user_900,Delhi,Rahul Gandhi,LibDems,Synthetic,neutral
182,policy Voters in Delhi will head to the polls next week as Rahul Gandhi campaigns. #NewsUpdate,2024-02-21,user_904,Delhi,Rahul Gandhi,Republicans,Synthetic,neutral
183,"today Everyone is talking about Obama. Some love it, some hate it. What do you think? #IndiaNews",2024-11-12,user_723,Maharashtra,Obama,LibDems,Synthetic,neutral
184,Record GDP growth under AAP leadership. The is thriving! #Election2024,2024-06-04,user_418,Sydney,Yogi Adityanath,AAP,Synthetic,positive
185,official Obama sold out to corporate interests. The common man means nothing to them. #Liar,2024-11-26,user_191,Berlin,Obama,TMC,Synthetic,negative
186,How many more scandals before DeSantis is held responsible? Enough is enough! #USPolitics,2024-06-08,user_826,California,DeSantis,TMC,Synthetic,negative
187,policy Opposition responds to Shah's budget address with mixed reactions. #VoterRights,2024-08-21,user_151,Texas,Amit Shah,AAP,Synthetic,neutral
188,statement Modi shows true compassion for ordinary citizens. A leader for the people! #IndiaNews,2024-03-31,user_991,Florida,Modi,Conservatives,Synthetic,positive
189,policy Arvind Kejriwal shows true compassion for ordinary citizens. A leader for the people! #HopeAndChange,2024-03-24,user_974,Maharashtra,Arvind Kejriwal,LibDems,Synthetic,positive
190,Mamata Banerjee sold out to corporate The interests. common man means nothing to them. #Exposed,2024-03-08,user_762,California,Mamata Banerjee,Conservatives,Synthetic,negative
191,Healthcare is a mess and Democrats has done nothing meaningful to fix it. #Accountability,2024-08-23,user_358,California,Harris,Democrats,Synthetic,negative
192,The new TMC policy is a breath of fresh air the industry. #NewsUpdate,2024-10-31,user_723,Florida,DeSantis,TMC,Synthetic,positive
193,official Excellent initiative by Obama to support rural development. #ModiForIndia,2024-11-29,user_405,Berlin,Obama,BJP,Synthetic,positive
