id,text,timestamp,user,location,source,language,query,true_sentiment,politician,party,is_sarcastic,cleaned_text,tokens,token_count,char_count
25,Last friday was a blast. I really missed mamox coz shes the only one who understands me when it comes to kpop. (we even sang 2pm's go crazy),2024-09-18,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,last friday blast really missed mamox coz shes one understands come kpop even sang 2pms go crazy,"['last', 'friday', 'blast', 'really', 'missed', 'mamox', 'coz', 'shes', 'one', 'understands', 'come', 'kpop', 'even', 'sang', '2pms', 'go', 'crazy']",17,96
26,Putting together a preview story for the CMU field hockey team. They're hosting Kent State Saturday with the MAC Championship on the line.,2024-04-03,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Conservatives,False,putting together preview story cmu field hockey team theyre hosting kent state saturday mac championship line,"['putting', 'together', 'preview', 'story', 'cmu', 'field', 'hockey', 'team', 'theyre', 'hosting', 'kent', 'state', 'saturday', 'mac', 'championship', 'line']",16,109
27,"""Cliff Avril on whether he would have been healthy to play on Sunday (Lions on bye): \""""""""I would have played.\""""""""""",2024-12-29,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,cliff avril whether would healthy play sunday lion bye would played,"['cliff', 'avril', 'whether', 'would', 'healthy', 'play', 'sunday', 'lion', 'bye', 'would', 'played']",11,67
28,This movie has everything typical horror movies lack. Although some things are far fetched we are dealing with quality snow man engineers. The only preview i can reveal is that i cant wait for Jackzilla. Dare i say oscar winner. This is a perfect date movie. I advise all men for ,2024-08-08,unknown_user,,IMDB,en,imdb,positive,Unknown,Unknown,False,movie everything typical horror movie lack although thing far fetched dealing quality snow man engineer preview reveal cant wait jackzilla dare say oscar winner perfect date movie advise men,"['movie', 'everything', 'typical', 'horror', 'movie', 'lack', 'although', 'thing', 'far', 'fetched', 'dealing', 'quality', 'snow', 'man', 'engineer', 'preview', 'reveal', 'cant', 'wait', 'jackzilla', 'dare', 'say', 'oscar', 'winner', 'perfect', 'date', 'movie', 'advise', 'men']",29,190
29,Can\u2019t wait for ISS tomorrow.... Not but at least ill have Kenna with me,2024-01-27,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,canu2019t wait iss tomorrow not but least ill kenna,"['canu2019t', 'wait', 'iss', 'tomorrow', 'not', 'but', 'least', 'ill', 'kenna']",9,51
30,@user Sumlin just mixing it up or is Murray the 2nd half an?,2024-04-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,sumlin mixing murray 2nd half,"['sumlin', 'mixing', 'murray', '2nd', 'half']",5,29
31,I went to the Marijuana March\u002c but I do not remember what happened there.,2025-01-10,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,went marijuana marchu002c but not remember happened,"['went', 'marijuana', 'marchu002c', 'but', 'not', 'remember', 'happened']",7,51
32,@user when will your 2013 dates at the MGM Grand will be released? I wanna meet you for my 30th birthday on March 10th! #Bucketlist,2025-03-22,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,2013 date mgm grand released wan na meet 30th birthday march 10th,"['2013', 'date', 'mgm', 'grand', 'released', 'wan', 'na', 'meet', '30th', 'birthday', 'march', '10th']",12,65
33,@user @user Not a Fox fan but I respect MK. Good luck with your book dear!,2024-10-23,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,not fox fan but respect mk good luck book dear,"['not', 'fox', 'fan', 'but', 'respect', 'mk', 'good', 'luck', 'book', 'dear']",10,46
34,"@user Drain the swamp? Obamacare? Int allegiances? Interrogation? Climate change? Clinton being charged? Gigantic wall? Yeah, exactly.",2025-02-19,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Obama,Unknown,False,drain swamp obamacare int allegiance interrogation climate change clinton charged gigantic wall yeah exactly,"['drain', 'swamp', 'obamacare', 'int', 'allegiance', 'interrogation', 'climate', 'change', 'clinton', 'charged', 'gigantic', 'wall', 'yeah', 'exactly']",14,108
35,"""Tomorrow, September 13th 8pm-midnight Cafe Asia , link to buy a ticket if you're interested will follow this tweet""",2024-04-06,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,tomorrow september 13th 8pmmidnight cafe asia link buy ticket youre interested follow tweet,"['tomorrow', 'september', '13th', '8pmmidnight', 'cafe', 'asia', 'link', 'buy', 'ticket', 'youre', 'interested', 'follow', 'tweet']",13,91
36,"""4 Jan Cracking the case of Charles Dickens THE MYSTERY OF EDWIN DROOD and the madcap musical it inspired @user",2025-05-13,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,jan cracking case charles dickens mystery edwin drood madcap musical inspired,"['jan', 'cracking', 'case', 'charles', 'dickens', 'mystery', 'edwin', 'drood', 'madcap', 'musical', 'inspired']",11,77
37,Just found out we have 91 Appointments n we are shooting for 120 on Monday - Huntsville\u002c AL are you ready for us?!?!  #NMAE @user,2025-02-23,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,found 91 appointment shooting 120 monday huntsvilleu002c al ready u,"['found', '91', 'appointment', 'shooting', '120', 'monday', 'huntsvilleu002c', 'al', 'ready', 'u']",10,67
38,"""29 March 1987 - Wrestlemania III-93,173 watch Hulk Hogan beat Andre the Giant.",2024-02-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,29 march 1987 wrestlemania iii93173 watch hulk hogan beat andre giant,"['29', 'march', '1987', 'wrestlemania', 'iii93173', 'watch', 'hulk', 'hogan', 'beat', 'andre', 'giant']",11,69
39,Did you just tell me Lucas scott leaves in the 5th season of tree hill? #YOUJUSTRUINEDMYLIFE,2024-01-08,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,tell lucas scott leaf 5th season tree hill,"['tell', 'lucas', 'scott', 'leaf', '5th', 'season', 'tree', 'hill']",8,42
40,@user the 6th edition was great too! i traveled around 5 islands in Vanuatu & New Caledonia,2024-07-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,6th edition great traveled around island vanuatu new caledonia,"['6th', 'edition', 'great', 'traveled', 'around', 'island', 'vanuatu', 'new', 'caledonia']",9,62
41,Is it fair to expect more from Christians at the work place? More on that this Sunday. #GospelAtWork,2025-01-25,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,fair expect christian work place sunday,"['fair', 'expect', 'christian', 'work', 'place', 'sunday']",6,39
42,"""Baha , as if I'm singing in front of people at Bluesfest tomorrow ! Everyone is going to be so great! #sinkingin #feelingsick""",2024-09-28,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,baha im singing front people bluesfest tomorrow everyone going great,"['baha', 'im', 'singing', 'front', 'people', 'bluesfest', 'tomorrow', 'everyone', 'going', 'great']",10,68
43,Happy to know that Delhi Police had found today the missing girl from India gate on 28 sept 2014,2024-04-06,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,happy know delhi police found today missing girl india gate 28 sept 2014,"['happy', 'know', 'delhi', 'police', 'found', 'today', 'missing', 'girl', 'india', 'gate', '28', 'sept', '2014']",13,72
44,the guys still feels counterproductive ,2025-03-18,unknown_user,,SST-2,en,sst2,negative,Unknown,Unknown,False,guy still feel counterproductive,"['guy', 'still', 'feel', 'counterproductive']",4,32
45,trying to break your heart an attraction it desperately needed ,2024-07-17,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,False,trying break heart attraction desperately needed,"['trying', 'break', 'heart', 'attraction', 'desperately', 'needed']",6,48
46,If this is the end for @user I once again have to commend @user for his emotional Gary Carter memorial show in February,2024-12-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,end commend emotional gary carter memorial show february,"['end', 'commend', 'emotional', 'gary', 'carter', 'memorial', 'show', 'february']",8,56
47,Love @user ! We need to see more of her on @user . Maybe replace @user ?,2025-03-13,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,love need see maybe replace,"['love', 'need', 'see', 'maybe', 'replace']",5,27
48,"1st watched 8/26/2001 - 8 out of 10 (Dir-John Cassavetes): Well-done early independent film by Cassavetes introduced a style that was much different than what Hollywood shows it's audience. This movie also introduced some very taboo subjects, especially the actual racism that pro",2024-12-07,unknown_user,,IMDB,en,imdb,positive,Unknown,Unknown,False,1st watched 8262001 10 dirjohn cassavetes welldone early independent film cassavetes introduced style much different hollywood show audience movie also introduced taboo subject especially actual racism pro,"['1st', 'watched', '8262001', '10', 'dirjohn', 'cassavetes', 'welldone', 'early', 'independent', 'film', 'cassavetes', 'introduced', 'style', 'much', 'different', 'hollywood', 'show', 'audience', 'movie', 'also', 'introduced', 'taboo', 'subject', 'especially', 'actual', 'racism', 'pro']",27,205
49,@user were on just before yee at Castlepalooza next Sat. Deezer stage though. Buzztown! There's a good crew about that day,2024-07-23,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,yee castlepalooza next sat deezer stage though buzztown there good crew day,"['yee', 'castlepalooza', 'next', 'sat', 'deezer', 'stage', 'though', 'buzztown', 'there', 'good', 'crew', 'day']",12,75
50,Toni Gonzaga will be in Legazpi on October 30. Huhuhuhu. I wanna cry i want to come but how? I dont have money. Waaaah @user,2024-05-17,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,toni gonzaga legazpi october 30 huhuhuhu wan na cry want come but dont money waaaah,"['toni', 'gonzaga', 'legazpi', 'october', '30', 'huhuhuhu', 'wan', 'na', 'cry', 'want', 'come', 'but', 'dont', 'money', 'waaaah']",15,83
51,@user @user may I please have the picture of the seatplan for The Vamps Concert please,2024-11-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,may please picture seatplan vamp concert please,"['may', 'please', 'picture', 'seatplan', 'vamp', 'concert', 'please']",7,47
52,"Microsoft brings Outlook to Apple Watch: Microsoft made a bigger push in the wearables market on Thursday, but...",2024-10-24,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,microsoft brings outlook apple watch microsoft made bigger push wearable market thursday but,"['microsoft', 'brings', 'outlook', 'apple', 'watch', 'microsoft', 'made', 'bigger', 'push', 'wearable', 'market', 'thursday', 'but']",13,92
53,Church blocks sexual contraception and education. Government blocks the Death Penalty. No wonder there's a population bubble.,2024-08-10,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,church block sexual contraception education government block death penalty no wonder there population bubble,"['church', 'block', 'sexual', 'contraception', 'education', 'government', 'block', 'death', 'penalty', 'no', 'wonder', 'there', 'population', 'bubble']",14,108
54,"this flick is fun , and host to some truly excellent sequences . ",2024-04-10,unknown_user,,SST-2,en,sst2,positive,Unknown,Unknown,False,flick fun host truly excellent sequence,"['flick', 'fun', 'host', 'truly', 'excellent', 'sequence']",6,39
55,samuel beckett applied to the iranian voting process .,2024-11-12,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,False,samuel beckett applied iranian voting process,"['samuel', 'beckett', 'applied', 'iranian', 'voting', 'process']",6,45
56,#BeyDay fun fact: Beyonce swept the hair off the floor of her mother's salon for her 1st job. #HumbleBeginnings,2024-10-09,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,fun fact beyonce swept hair floor mother salon 1st job,"['fun', 'fact', 'beyonce', 'swept', 'hair', 'floor', 'mother', 'salon', '1st', 'job']",10,54
57,"#NationalFastFoodDay Should we be promoting a industry that has led to obesity,high cholesterol?#letsmakeamericaskinnyagain  @user",2025-05-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,promoting industry led obesityhigh cholesterol,"['promoting', 'industry', 'led', 'obesityhigh', 'cholesterol']",5,46
58,At the 10th Annual Cloud Expo @user,2024-04-02,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,10th annual cloud expo,"['10th', 'annual', 'cloud', 'expo']",4,22
59,"After ""Central City"" loses its mob boss to murder, partner-in-crime Robert Armstrong (as ""Doc"" Rogers) decides to take drastic measures To preserve criminal continuity, he recruits the dead mobster's milquetoast son, Richard Cromwell (as Edward ""Baby Face"" Morgan), to run the fam",2024-01-17,unknown_user,,IMDB,en,imdb,negative,Unknown,Unknown,False,central city loses mob bos murder partnerincrime robert armstrong doc rogers decides take drastic measure preserve criminal continuity recruit dead mobster milquetoast son richard cromwell edward baby face morgan run fam,"['central', 'city', 'loses', 'mob', 'bos', 'murder', 'partnerincrime', 'robert', 'armstrong', 'doc', 'rogers', 'decides', 'take', 'drastic', 'measure', 'preserve', 'criminal', 'continuity', 'recruit', 'dead', 'mobster', 'milquetoast', 'son', 'richard', 'cromwell', 'edward', 'baby', 'face', 'morgan', 'run', 'fam']",31,220
60,The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!,2024-09-29,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,accounting career fair friday sure engage u using might win ipad mini,"['accounting', 'career', 'fair', 'friday', 'sure', 'engage', 'u', 'using', 'might', 'win', 'ipad', 'mini']",12,69
61,would like to get to milan for the world tour appearance of  maestro Zubin Mehta in may,2024-06-24,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,would like get milan world tour appearance maestro zubin mehta may,"['would', 'like', 'get', 'milan', 'world', 'tour', 'appearance', 'maestro', 'zubin', 'mehta', 'may']",11,66
62,Dean Ambrose and Roman Regins might have found their 3rd partner because he is going to want payback #Raw,2025-03-31,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,dean ambrose roman regins might found 3rd partner going want payback,"['dean', 'ambrose', 'roman', 'regins', 'might', 'found', '3rd', 'partner', 'going', 'want', 'payback']",11,68
63,i miss you like the moon misses the sun at twilight,2024-10-30,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,miss like moon miss sun twilight,"['miss', 'like', 'moon', 'miss', 'sun', 'twilight']",6,32
64,Nebraska doesn't land Gesell...a Top 100 guy in your state and you don't get him.  C'mon #Nebrasketball,2024-12-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,False,nebraska doesnt land gesella top 100 guy state dont get cmon,"['nebraska', 'doesnt', 'land', 'gesella', 'top', '100', 'guy', 'state', 'dont', 'get', 'cmon']",11,60
65,a movie with a real anarchic flair .,2024-09-15,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,False,movie real anarchic flair,"['movie', 'real', 'anarchic', 'flair']",4,25
66,"""If you hate Kanye West, just listen to Runaway. It may change your perspective on his personality.""",2024-08-21,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,hate kanye west listen runaway may change perspective personality,"['hate', 'kanye', 'west', 'listen', 'runaway', 'may', 'change', 'perspective', 'personality']",9,65
67,"passion , lip-synching , tragedy , and lots of really really high notes . for me , this opera isn't a favorite , so it's a long time before the fat lady sings .",2024-12-15,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,negative,Unknown,Unknown,False,passion lipsynching tragedy lot really really high note opera isnt favorite long time fat lady sings,"['passion', 'lipsynching', 'tragedy', 'lot', 'really', 'really', 'high', 'note', 'opera', 'isnt', 'favorite', 'long', 'time', 'fat', 'lady', 'sings']",16,100
68,Friday Night Lights with Mitt! #tcot #tlot #bcot #ccot #gop #nra #ocra #sgp #teaparty #twisters #breitbart #Israel,2024-07-02,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Republicans,False,friday night light mitt,"['friday', 'night', 'light', 'mitt']",4,23
69,"""May I know @user How you can be so sure that Yakub is Innocent? Any Proof?""",2024-05-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,may know sure yakub innocent proof,"['may', 'know', 'sure', 'yakub', 'innocent', 'proof']",6,34
70,It's Prince George's 2nd birthday! With the following hashtag you can congratulate the little Prince. We wish His...,2024-02-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,False,prince george 2nd birthday following hashtag congratulate little prince wish,"['prince', 'george', '2nd', 'birthday', 'following', 'hashtag', 'congratulate', 'little', 'prince', 'wish']",10,76
71,sungkyunkwan scandal on ABS-CBN.. i just finished the series yesterday..:))))) i may sound like a spoiler now <evil laugh>,2024-02-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,sungkyunkwan scandal abscbn finished series yesterday may sound like spoiler,"['sungkyunkwan', 'scandal', 'abscbn', 'finished', 'series', 'yesterday', 'may', 'sound', 'like', 'spoiler']",10,76
72,THE EVIL THAT MEN DO by IRON MAIDEN was no.5 in the UK charts on 20 August 1988,2025-03-16,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,evil men iron maiden no5 uk chart 20 august 1988,"['evil', 'men', 'iron', 'maiden', 'no5', 'uk', 'chart', '20', 'august', '1988']",10,48
73,I am in line to meet E L James! Guess I should start on #fiftyshades for the 4th time! @user #FiftyShadesOfGrey,2025-01-31,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,line meet james guess start 4th time,"['line', 'meet', 'james', 'guess', 'start', '4th', 'time']",7,36
74,"@user Tonight at @user Tomorrow we'll start there and bus to Toyota at 2, or you can meet us at Toyota from 4-7""",2025-03-04,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,tonight tomorrow well start bus toyota meet u toyota 47,"['tonight', 'tomorrow', 'well', 'start', 'bus', 'toyota', 'meet', 'u', 'toyota', '47']",10,55
75,@user it's girls night ! We Go out somewhere to sat and then moomba ! Are you like jealous ?,2024-04-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,False,girl night go somewhere sat moomba like jealous,"['girl', 'night', 'go', 'somewhere', 'sat', 'moomba', 'like', 'jealous']",8,47
