id,text,timestamp,user,location,source,language,query,true_sentiment,politician,party,is_sarcastic,cleaned_text,tokens,token_count,char_count,ml_label,ml_confidence,ml_probs,split,dl_label,dl_confidence,dl_probs,final_sentiment,final_confidence,is_different_from_ml,extracted_entities
20,Imagine going home before Sunday and missing Snoop Dogg hahahaha,2024-02-15,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,imagine going home sunday missing snoop dogg hahahaha,"['imagine', 'going', 'home', 'sunday', 'missing', 'snoop', 'dogg', 'hahahaha']",8,53,positive,0.4686,"{np.str_('negative'): 0.1571, np.str_('neutral'): 0.3743, np.str_('positive'): 0.4686}",labeled,neutral,0.4675,"{'neutral': 0.4675, 'positive': 0.4297, 'negative': 0.1028}",positive,0.4453,0,['Snoop Dogg']
21,@user DAVID BLAINE DOES MAGIC AT KANYE WEST. Kanye doesn't really have a *great* time.,2024-06-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,david blaine magic kanye west kanye doesnt really great time,"['david', 'blaine', 'magic', 'kanye', 'west', 'kanye', 'doesnt', 'really', 'great', 'time']",10,60,positive,0.4666,"{np.str_('negative'): 0.2008, np.str_('neutral'): 0.3326, np.str_('positive'): 0.4666}",labeled,neutral,0.6783,"{'neutral': 0.6783, 'negative': 0.2801, 'positive': 0.0416}",neutral,0.54,1,"['Kanye', 'DAVID BLAINE DOES']"
22,"Like Tarzan the Ape Man (1932), only more so. There's more of everything, more animals, more varied African tribes, and scenes in which the thought must be, if this was good with three or four lions, forty would be better. Tarzan wrestles with crocodilesthe the crocodile machine",2024-10-07,unknown_user,,IMDB,en,imdb,positive,Unknown,Unknown,0,like tarzan ape man 1932 there everything animal varied african tribe scene thought must good three four lion forty would better tarzan wrestle crocodilesthe crocodile machine,"['like', 'tarzan', 'ape', 'man', '1932', 'there', 'everything', 'animal', 'varied', 'african', 'tribe', 'scene', 'thought', 'must', 'good', 'three', 'four', 'lion', 'forty', 'would', 'better', 'tarzan', 'wrestle', 'crocodiles\x97the', 'crocodile', 'machine']",26,176,positive,0.5132,"{np.str_('negative'): 0.3175, np.str_('neutral'): 0.1693, np.str_('positive'): 0.5132}",labeled,neutral,0.5274,"{'neutral': 0.5274, 'positive': 0.4315, 'negative': 0.0411}",positive,0.4642,0,[]
23,@user reminds me day I was walked btw IBM bldgs in S.Fla Sun for health; hot; I past 2 guys digging a 4x8' cable trench 10' deep,2025-05-13,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,reminds day walked btw ibm bldgs sfla sun health hot past guy digging 4x8 cable trench 10 deep,"['reminds', 'day', 'walked', 'btw', 'ibm', 'bldgs', 'sfla', 'sun', 'health', 'hot', 'past', 'guy', 'digging', '4x8', 'cable', 'trench', '10', 'deep']",18,94,neutral,0.5058,"{np.str_('negative'): 0.1227, np.str_('neutral'): 0.5058, np.str_('positive'): 0.3715}",labeled,neutral,0.8211,"{'neutral': 0.8211, 'negative': 0.0924, 'positive': 0.0865}",neutral,0.695,0,"['@user', 'IBM']"
24,"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",2024-01-16,unknown_user,,Rotten Tomatoes,en,rotten_tomatoes,positive,Unknown,Unknown,0,thanks haynes absolute control film mood buoyed three terrific performance far heaven actually pull stylistic juggling act,"['thanks', 'haynes', 'absolute', 'control', 'film', 'mood', 'buoyed', 'three', 'terrific', 'performance', 'far', 'heaven', 'actually', 'pull', 'stylistic', 'juggling', 'act']",17,122,positive,0.625,"{np.str_('negative'): 0.2737, np.str_('neutral'): 0.1012, np.str_('positive'): 0.625}",labeled,positive,0.9718,"{'positive': 0.9718, 'neutral': 0.0217, 'negative': 0.0065}",positive,0.8331,0,[]
25,Last friday was a blast. I really missed mamox coz shes the only one who understands me when it comes to kpop. (we even sang 2pm's go crazy),2024-09-18,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,last friday blast really missed mamox coz shes one understands come kpop even sang 2pms go crazy,"['last', 'friday', 'blast', 'really', 'missed', 'mamox', 'coz', 'shes', 'one', 'understands', 'come', 'kpop', 'even', 'sang', '2pms', 'go', 'crazy']",17,96,positive,0.4411,"{np.str_('negative'): 0.1929, np.str_('neutral'): 0.366, np.str_('positive'): 0.4411}",labeled,positive,0.509,"{'positive': 0.509, 'neutral': 0.2659, 'negative': 0.2251}",positive,0.4818,0,[]
26,Putting together a preview story for the CMU field hockey team. They're hosting Kent State Saturday with the MAC Championship on the line.,2024-04-03,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Conservatives,0,putting together preview story cmu field hockey team theyre hosting kent state saturday mac championship line,"['putting', 'together', 'preview', 'story', 'cmu', 'field', 'hockey', 'team', 'theyre', 'hosting', 'kent', 'state', 'saturday', 'mac', 'championship', 'line']",16,109,positive,0.3617,"{np.str_('negative'): 0.3169, np.str_('neutral'): 0.3214, np.str_('positive'): 0.3617}",labeled,neutral,0.9321,"{'neutral': 0.9321, 'positive': 0.0614, 'negative': 0.0065}",neutral,0.6878,1,"['Kent State', 'CMU']"
27,"""Cliff Avril on whether he would have been healthy to play on Sunday (Lions on bye): \""""""""I would have played.\""""""""""",2024-12-29,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,cliff avril whether would healthy play sunday lion bye would played,"['cliff', 'avril', 'whether', 'would', 'healthy', 'play', 'sunday', 'lion', 'bye', 'would', 'played']",11,67,positive,0.4401,"{np.str_('negative'): 0.2214, np.str_('neutral'): 0.3385, np.str_('positive'): 0.4401}",labeled,neutral,0.9171,"{'neutral': 0.9171, 'positive': 0.0573, 'negative': 0.0256}",neutral,0.6857,1,[]
28,This movie has everything typical horror movies lack. Although some things are far fetched we are dealing with quality snow man engineers. The only preview i can reveal is that i cant wait for Jackzilla. Dare i say oscar winner. This is a perfect date movie. I advise all men for ,2024-08-08,unknown_user,,IMDB,en,imdb,positive,Unknown,Unknown,0,movie everything typical horror movie lack although thing far fetched dealing quality snow man engineer preview reveal cant wait jackzilla dare say oscar winner perfect date movie advise men,"['movie', 'everything', 'typical', 'horror', 'movie', 'lack', 'although', 'thing', 'far', 'fetched', 'dealing', 'quality', 'snow', 'man', 'engineer', 'preview', 'reveal', 'cant', 'wait', 'jackzilla', 'dare', 'say', 'oscar', 'winner', 'perfect', 'date', 'movie', 'advise', 'men']",29,190,positive,0.4468,"{np.str_('negative'): 0.4463, np.str_('neutral'): 0.1069, np.str_('positive'): 0.4468}",labeled,positive,0.4904,"{'positive': 0.4904, 'neutral': 0.2887, 'negative': 0.2209}",positive,0.473,0,[]
29,Can\u2019t wait for ISS tomorrow.... Not but at least ill have Kenna with me,2024-01-27,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,canu2019t wait iss tomorrow not but least ill kenna,"['canu2019t', 'wait', 'iss', 'tomorrow', 'not', 'but', 'least', 'ill', 'kenna']",9,51,positive,0.5666,"{np.str_('negative'): 0.1962, np.str_('neutral'): 0.2372, np.str_('positive'): 0.5666}",labeled,positive,0.8505,"{'positive': 0.8505, 'neutral': 0.1165, 'negative': 0.033}",positive,0.7369,0,['Kenna']
30,@user Sumlin just mixing it up or is Murray the 2nd half an?,2024-04-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,sumlin mixing murray 2nd half,"['sumlin', 'mixing', 'murray', '2nd', 'half']",5,29,neutral,0.4461,"{np.str_('negative'): 0.1849, np.str_('neutral'): 0.4461, np.str_('positive'): 0.3689}",labeled,neutral,0.9467,"{'neutral': 0.9467, 'positive': 0.027, 'negative': 0.0263}",neutral,0.7465,0,"['Murray', '@user Sumlin']"
31,I went to the Marijuana March\u002c but I do not remember what happened there.,2025-01-10,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,went marijuana marchu002c but not remember happened,"['went', 'marijuana', 'marchu002c', 'but', 'not', 'remember', 'happened']",7,51,neutral,0.4904,"{np.str_('negative'): 0.2941, np.str_('neutral'): 0.4904, np.str_('positive'): 0.2155}",labeled,neutral,0.6492,"{'neutral': 0.6492, 'negative': 0.3231, 'positive': 0.0277}",neutral,0.5857,0,['Marijuana']
32,@user when will your 2013 dates at the MGM Grand will be released? I wanna meet you for my 30th birthday on March 10th! #Bucketlist,2025-03-22,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,2013 date mgm grand released wan na meet 30th birthday march 10th,"['2013', 'date', 'mgm', 'grand', 'released', 'wan', 'na', 'meet', '30th', 'birthday', 'march', '10th']",12,65,neutral,0.4756,"{np.str_('negative'): 0.1293, np.str_('neutral'): 0.4756, np.str_('positive'): 0.3951}",labeled,neutral,0.8235,"{'neutral': 0.8235, 'positive': 0.1693, 'negative': 0.0073}",neutral,0.6843,0,"['@user', 'Bucketlist']"
33,@user @user Not a Fox fan but I respect MK. Good luck with your book dear!,2024-10-23,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,not fox fan but respect mk good luck book dear,"['not', 'fox', 'fan', 'but', 'respect', 'mk', 'good', 'luck', 'book', 'dear']",10,46,positive,0.5481,"{np.str_('negative'): 0.271, np.str_('neutral'): 0.1809, np.str_('positive'): 0.5481}",labeled,positive,0.5522,"{'positive': 0.5522, 'neutral': 0.4119, 'negative': 0.0359}",positive,0.5506,0,['Fox']
34,"@user Drain the swamp? Obamacare? Int allegiances? Interrogation? Climate change? Clinton being charged? Gigantic wall? Yeah, exactly.",2025-02-19,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Obama,Unknown,0,drain swamp obamacare int allegiance interrogation climate change clinton charged gigantic wall yeah exactly,"['drain', 'swamp', 'obamacare', 'int', 'allegiance', 'interrogation', 'climate', 'change', 'clinton', 'charged', 'gigantic', 'wall', 'yeah', 'exactly']",14,108,neutral,0.4275,"{np.str_('negative'): 0.2946, np.str_('neutral'): 0.4275, np.str_('positive'): 0.2779}",labeled,neutral,0.5168,"{'neutral': 0.5168, 'negative': 0.4471, 'positive': 0.0361}",neutral,0.4811,0,"['Clinton', '@user Drain']"
35,"""Tomorrow, September 13th 8pm-midnight Cafe Asia , link to buy a ticket if you're interested will follow this tweet""",2024-04-06,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,tomorrow september 13th 8pmmidnight cafe asia link buy ticket youre interested follow tweet,"['tomorrow', 'september', '13th', '8pmmidnight', 'cafe', 'asia', 'link', 'buy', 'ticket', 'youre', 'interested', 'follow', 'tweet']",13,91,neutral,0.497,"{np.str_('negative'): 0.1849, np.str_('neutral'): 0.497, np.str_('positive'): 0.3181}",labeled,neutral,0.8438,"{'neutral': 0.8438, 'positive': 0.152, 'negative': 0.0042}",neutral,0.7051,0,[]
36,"""4 Jan Cracking the case of Charles Dickens THE MYSTERY OF EDWIN DROOD and the madcap musical it inspired @user",2025-05-13,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,jan cracking case charles dickens mystery edwin drood madcap musical inspired,"['jan', 'cracking', 'case', 'charles', 'dickens', 'mystery', 'edwin', 'drood', 'madcap', 'musical', 'inspired']",11,77,positive,0.4046,"{np.str_('negative'): 0.2554, np.str_('neutral'): 0.34, np.str_('positive'): 0.4046}",labeled,neutral,0.8482,"{'neutral': 0.8482, 'positive': 0.1262, 'negative': 0.0256}",neutral,0.6449,1,"['Charles Dickens', '@user']"
37,Just found out we have 91 Appointments n we are shooting for 120 on Monday - Huntsville\u002c AL are you ready for us?!?!  #NMAE @user,2025-02-23,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,found 91 appointment shooting 120 monday huntsvilleu002c al ready u,"['found', '91', 'appointment', 'shooting', '120', 'monday', 'huntsvilleu002c', 'al', 'ready', 'u']",10,67,neutral,0.4056,"{np.str_('negative'): 0.22, np.str_('neutral'): 0.4056, np.str_('positive'): 0.3744}",labeled,neutral,0.8614,"{'neutral': 0.8614, 'positive': 0.1168, 'negative': 0.0217}",neutral,0.6791,0,"['NMAE', 'Appointments']"
38,"""29 March 1987 - Wrestlemania III-93,173 watch Hulk Hogan beat Andre the Giant.",2024-02-07,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,29 march 1987 wrestlemania iii93173 watch hulk hogan beat andre giant,"['29', 'march', '1987', 'wrestlemania', 'iii93173', 'watch', 'hulk', 'hogan', 'beat', 'andre', 'giant']",11,69,neutral,0.4382,"{np.str_('negative'): 0.1599, np.str_('neutral'): 0.4382, np.str_('positive'): 0.4019}",labeled,neutral,0.7705,"{'neutral': 0.7705, 'positive': 0.2239, 'negative': 0.0056}",neutral,0.6376,0,"['Hulk Hogan', 'Andre', 'Giant']"
39,Did you just tell me Lucas scott leaves in the 5th season of tree hill? #YOUJUSTRUINEDMYLIFE,2024-01-08,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,negative,Unknown,Unknown,0,tell lucas scott leaf 5th season tree hill,"['tell', 'lucas', 'scott', 'leaf', '5th', 'season', 'tree', 'hill']",8,42,neutral,0.4864,"{np.str_('negative'): 0.2388, np.str_('neutral'): 0.4864, np.str_('positive'): 0.2748}",labeled,neutral,0.8984,"{'neutral': 0.8984, 'positive': 0.0674, 'negative': 0.0342}",neutral,0.7336,0,"['YOUJUSTRUINEDMYLIFE', 'Lucas']"
40,@user the 6th edition was great too! i traveled around 5 islands in Vanuatu & New Caledonia,2024-07-05,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,6th edition great traveled around island vanuatu new caledonia,"['6th', 'edition', 'great', 'traveled', 'around', 'island', 'vanuatu', 'new', 'caledonia']",9,62,positive,0.4962,"{np.str_('negative'): 0.1207, np.str_('neutral'): 0.3831, np.str_('positive'): 0.4962}",labeled,positive,0.9165,"{'positive': 0.9165, 'neutral': 0.081, 'negative': 0.0025}",positive,0.7484,0,['Vanuatu & New Caledonia']
41,Is it fair to expect more from Christians at the work place? More on that this Sunday. #GospelAtWork,2025-01-25,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,neutral,Unknown,Unknown,0,fair expect christian work place sunday,"['fair', 'expect', 'christian', 'work', 'place', 'sunday']",6,39,neutral,0.423,"{np.str_('negative'): 0.2076, np.str_('neutral'): 0.423, np.str_('positive'): 0.3694}",labeled,neutral,0.8221,"{'neutral': 0.8221, 'positive': 0.1435, 'negative': 0.0343}",neutral,0.6625,0,[]
42,"""Baha , as if I'm singing in front of people at Bluesfest tomorrow ! Everyone is going to be so great! #sinkingin #feelingsick""",2024-09-28,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,baha im singing front people bluesfest tomorrow everyone going great,"['baha', 'im', 'singing', 'front', 'people', 'bluesfest', 'tomorrow', 'everyone', 'going', 'great']",10,68,positive,0.6535,"{np.str_('negative'): 0.171, np.str_('neutral'): 0.1755, np.str_('positive'): 0.6535}",labeled,positive,0.9777,"{'positive': 0.9777, 'neutral': 0.0186, 'negative': 0.0037}",positive,0.848,0,[]
43,Happy to know that Delhi Police had found today the missing girl from India gate on 28 sept 2014,2024-04-06,unknown_user,,Twitter (tweet_eval),en,tweet_eval_sentiment,positive,Unknown,Unknown,0,happy know delhi police found today missing girl india gate 28 sept 2014,"['happy', 'know', 'delhi', 'police', 'found', 'today', 'missing', 'girl', 'india', 'gate', '28', 'sept', '2014']",13,72,positive,0.408,"{np.str_('negative'): 0.2402, np.str_('neutral'): 0.3518, np.str_('positive'): 0.408}",labeled,positive,0.8767,"{'positive': 0.8767, 'neutral': 0.1178, 'negative': 0.0055}",positive,0.6892,0,"['Delhi Police', 'India']"
